,Document,Topic,Name,CustomName,Top_n_words,Representative_document
0,tuvalet temiz yön seyahat pis istikamet yön gider uğra gölbaşı şikayet rağmen tarafından hiçbir yaptırım,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
1,ilgilen taharet musluk adeta mühendis harika başarı ön geç tuvalet ayıp kek,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
2,tarafından takip edil,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
3,pırıl_pırıl starbucks cafe şahane personel_güler,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
4,pırıl_pırıl tesis,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
5,kalite hizmet kalite güleryüz personel takdir işle lavabo tebrik teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
6,hijyenik kalite hizmet doğru,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
7,keyif,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
8,işle hijyenik güler_yüz iste,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
9,hijyen,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
10,yıka hizmet yer üst taraf ayrı olma,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
11,bit an yetiş motor su koy işlem ücret konum,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
